Pivot_Field_Names,Pivot_Field_Values,Institution_Name
2017,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)
2018,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)
2019,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)
2020,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)
2017,2,STANFORD UNIVERSITY
2018,2,STANFORD UNIVERSITY
2019,2,STANFORD UNIVERSITY
2020,2,STANFORD UNIVERSITY
2017,3,HARVARD UNIVERSITY
2018,3,HARVARD UNIVERSITY
2019,3,HARVARD UNIVERSITY
2020,3,HARVARD UNIVERSITY
2017,4,UNIVERSITY OF CAMBRIDGE
2018,5,UNIVERSITY OF CAMBRIDGE
2019,6,UNIVERSITY OF CAMBRIDGE
2020,7,UNIVERSITY OF CAMBRIDGE
2017,5,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH)
2018,4,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH)
2019,4,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH)
2020,5,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH)
2017,6,UNIVERSITY OF OXFORD
2018,6,UNIVERSITY OF OXFORD
2019,5,UNIVERSITY OF OXFORD
2020,4,UNIVERSITY OF OXFORD
2017,7,UCL (UNIVERSITY COLLEGE LONDON)
2018,7,UCL (UNIVERSITY COLLEGE LONDON)
2019,10,UCL (UNIVERSITY COLLEGE LONDON)
2020,8,UCL (UNIVERSITY COLLEGE LONDON)
2017,8,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY)
2018,10,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY)
2019,7,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY)
2020,6,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY)
2017,9,IMPERIAL COLLEGE LONDON
2018,8,IMPERIAL COLLEGE LONDON
2019,8,IMPERIAL COLLEGE LONDON
2020,9,IMPERIAL COLLEGE LONDON
2017,10,UNIVERSITY OF CHICAGO
2018,9,UNIVERSITY OF CHICAGO
2019,9,UNIVERSITY OF CHICAGO
2020,10,UNIVERSITY OF CHICAGO
