Institution Name,Country,Institute_age,Overall_Score,Continent,Pivot_Field_Names,Pivot_Field_Values
UNIVERSIDAD DE BUENOS AIRES,Argentina,5,66.2,South America,Academic Reputation,86.1
UNIVERSIDAD DE BUENOS AIRES,Argentina,5,66.2,South America,Citations per Faculty,2.5
UNIVERSIDAD DE BUENOS AIRES,Argentina,5,66.2,South America,Employer Reputation,91.6
UNIVERSIDAD DE BUENOS AIRES,Argentina,5,66.2,South America,Faculty Student,79.1
UNIVERSIDAD DE BUENOS AIRES,Argentina,5,66.2,South America,International Faculty,53.4
UNIVERSIDAD DE BUENOS AIRES,Argentina,5,66.2,South America,International Students,68.5
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,4,84.4,Oceania,Academic Reputation,97.1
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,4,84.4,Oceania,Citations per Faculty,87.8
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,4,84.4,Oceania,Employer Reputation,82.6
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,4,84.4,Oceania,Faculty Student,47.9
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,4,84.4,Oceania,International Faculty,100
AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,4,84.4,Oceania,International Students,99.5
UNIVERSITÄT WIEN,Austria,5,46.4,Europe,Academic Reputation,60.8
UNIVERSITÄT WIEN,Austria,5,46.4,Europe,Citations per Faculty,17.4
UNIVERSITÄT WIEN,Austria,5,46.4,Europe,Employer Reputation,35.7
UNIVERSITÄT WIEN,Austria,5,46.4,Europe,Faculty Student,26.6
UNIVERSITÄT WIEN,Austria,5,46.4,Europe,International Faculty,98.4
UNIVERSITÄT WIEN,Austria,5,46.4,Europe,International Students,93.4
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,5,63.4,Europe,Academic Reputation,76.5
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,5,63.4,Europe,Citations per Faculty,87.1
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,5,63.4,Europe,Employer Reputation,60.8
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,5,63.4,Europe,Faculty Student,13.4
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,5,63.4,Europe,International Faculty,89.6
KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,5,63.4,Europe,International Students,39.8
UNIVERSIDADE DE SÃO PAULO (USP),Brazil,4,55.5,South America,Academic Reputation,87.2
UNIVERSIDADE DE SÃO PAULO (USP),Brazil,4,55.5,South America,Citations per Faculty,30.7
UNIVERSIDADE DE SÃO PAULO (USP),Brazil,4,55.5,South America,Employer Reputation,80.4
UNIVERSIDADE DE SÃO PAULO (USP),Brazil,4,55.5,South America,Faculty Student,28.2
UNIVERSIDADE DE SÃO PAULO (USP),Brazil,4,55.5,South America,International Faculty,9.6
UNIVERSIDADE DE SÃO PAULO (USP),Brazil,4,55.5,South America,International Students,4.3
UNIVERSITY OF TORONTO,Canada,5,83,North America,Academic Reputation,98.7
UNIVERSITY OF TORONTO,Canada,5,83,North America,Citations per Faculty,47.6
UNIVERSITY OF TORONTO,Canada,5,83,North America,Employer Reputation,94
UNIVERSITY OF TORONTO,Canada,5,83,North America,Faculty Student,74.8
